,SubjectID,PredicateID,ObjectID,Subject,Predicate,Object,ReferenceProperty,URL,RefDoc
0,Q31,P2852,Q25648793,Belgium,emergency phone number,100,P854,http://www.itu.int/net/itu-t/inrdb/e129_important_numbers.aspx,refdoc_75
1,Q31,P2852,Q25648794,Belgium,emergency phone number,101,P854,http://www.itu.int/net/itu-t/inrdb/e129_important_numbers.aspx,refdoc_75
2,Q31,P2853,Q1378312,Belgium,electrical plug type,Europlug,P854,http://www.iec.ch/worldplugs/list_bylocation.htm,refdoc_662
3,Q31,P2853,Q1378312,Belgium,electrical plug type,Europlug,P1065,https://web.archive.org/web/20160610225010/https://www.iec.ch/worldplugs/list_bylocation.htm,refdoc_1467
4,Q31,P2853,Q2335536,Belgium,electrical plug type,Type E,P854,http://www.iec.ch/worldplugs/list_bylocation.htm,refdoc_662
5,Q31,P2853,Q2335536,Belgium,electrical plug type,Type E,P1065,https://web.archive.org/web/20160610225010/https://www.iec.ch/worldplugs/list_bylocation.htm,refdoc_1467
6,Q31,P1552,Q3174312,Belgium,has quality,free country,P854,https://freedomhouse.org/report/freedom-world/freedom-world-2017,refdoc_209
7,Q31,P530,Q423,Belgium,diplomatic relation,North Korea,P854,https://www.ncnk.org/sites/default/files/content/resources/publications/NCNK_Issue_Brief_DPRK_Diplomatic_Relations.pdf,refdoc_984
8,Q31,P463,Q141720,Belgium,member of,European Air Transport Command,P854,http://eatc-mil.com/8/About-us,refdoc_1485
9,Q31,P463,Q340195,Belgium,member of,African Development Bank,P854,https://en.wikipedia.org/wiki/African_Development_Bank,refdoc_1103
10,Q31,P463,Q1072120,Belgium,member of,Missile Technology Control Regime,P854,http://mtcr.info/partners/,refdoc_1496
11,Q31,P463,Q8475,Belgium,member of,Interpol,P854,https://www.interpol.int/Member-countries/World,refdoc_602
12,Q31,P463,Q1480793,Belgium,member of,Nuclear Suppliers Group,P854,http://www.nuclearsuppliersgroup.org/en/participants1,refdoc_1530
13,Q31,P463,Q842490,Belgium,member of,Organisation for the Prohibition of Chemical Weapons,P854,https://www.opcw.org/about-opcw/member-states/,refdoc_800
14,Q31,P463,Q3866537,Belgium,member of,Movement Coordination Centre Europe,P854,http://mcce-mil.com/wp-content/uploads/glance/MCCE-AT-A-Glance-September-2017.pdf,refdoc_1751
15,Q31,P463,Q521227,Belgium,member of,Organisation for Joint Armament Cooperation,P854,http://www.occar.int/185,refdoc_29
16,Q31,P463,Q233611,Belgium,member of,International Hydrographic Organization,P854,https://www.iho.int/srv1/index.php?option=com_wrapper&view=wrapper&Itemid=452&lang=en,refdoc_392
17,Q31,P463,Q826700,Belgium,member of,International Energy Agency,P854,https://www.iea.org/countries/membercountries/,refdoc_455
18,Q31,P463,Q7809,Belgium,member of,UNESCO,P854,http://www.unesco.org/eri/cp/ListeMS_Indicators.asp,refdoc_98
19,Q31,P463,Q17495,Belgium,member of,Universal Postal Union,P854,http://www.upu.int/en/the-upu/member-countries.html,refdoc_1239
20,Q31,P463,Q376150,Belgium,member of,International Telecommunication Union,P854,https://www.itu.int/online/mm/scripts/gensel8,refdoc_256
21,Q31,P463,Q1969730,Belgium,member of,Schengen Area,P854,https://www.touteleurope.eu/les-pays-membres-de-l-espace-schengen.html,refdoc_432
22,Q31,P463,Q1531570,Belgium,member of,Global Biodiversity Information Facility,P854,https://www.gbif.org/country/BE/summary,refdoc_1550
23,Q31,P463,Q45177,Belgium,member of,Visa Waiver Program,P854,https://www.dhs.gov/visa-waiver-program-requirements,refdoc_500
24,Q31,P463,Q170424,Belgium,member of,World Meteorological Organization,P854,https://public.wmo.int/en/members/belgium,refdoc_1705
25,Q31,P463,Q7817,Belgium,member of,World Health Organization,P854,https://www.who.int/choice/demography/by_country/en/,refdoc_1587
26,Q31,P463,Q182814,Belgium,member of,Antarctic Treaty System,P854,https://www.ats.aq/devAS/Parties?lang=e,refdoc_816
27,Q31,P463,Q605326,Belgium,member of,World Customs Organization,P854,https://www.wcoomd.org/-/media/wco/public/global/pdf/about-us/wco-members/list-of-members-with-membership-date.pdf,refdoc_391
28,Q31,P463,Q823428,Belgium,member of,"Task Force for International Cooperation on Holocaust Education, Remembrance, and Research",P854,https://holocaustremembrance.com/countries/belgium,refdoc_895
29,Q31,P463,Q131720477,Belgium,member of,"{'text': 'CERN Council', 'language': 'mul'}",P854,https://council.web.cern.ch/en/content/council-composition-january-2025,refdoc_207
30,Q31,P463,Q186444,Belgium,member of,Treaty on the Non-Proliferation of Nuclear Weapons,P854,https://en.wikipedia.org/wiki/List_of_parties_to_the_Treaty_on_the_Non-Proliferation_of_Nuclear_Weapons,refdoc_911
31,Q31,P5658,Q13196750,Belgium,railway traffic side,left,P4656,https://de.wikipedia.org/wiki/Mehrgleisigkeit#Fahrordnung_in_den_einzelnen_L%C3%A4ndern,refdoc_1017
32,Q31,P85,Q161539,Belgium,anthem,The Brabançonne,P854,http://www.belgium.be/fr/la_belgique/connaitre_le_pays/la_belgique_en_bref/symboles/hymnes/,refdoc_774
33,Q31,P361,Q27496,Belgium,part of,Western Europe,P854,https://www.workwithdata.com/place/belgium,refdoc_334
34,Q31,P1622,Q14565199,Belgium,driving side,right,P854,http://chartsbin.com/view/edr,refdoc_1082
35,Q31,P832,Q196627,Belgium,public holiday,New Year's Day,P854,https://www.belgium.be/nl/over_belgie/land/belgie_in_een_notendop/feestdagen,refdoc_388
36,Q31,P832,Q21196,Belgium,public holiday,Easter,P854,https://www.belgium.be/nl/over_belgie/land/belgie_in_een_notendop/feestdagen,refdoc_388
37,Q31,P832,Q209663,Belgium,public holiday,Easter Monday,P854,https://www.belgium.be/nl/over_belgie/land/belgie_in_een_notendop/feestdagen,refdoc_388
